Date,,Berri1,Boyer,Boyer 2,Brébeuf,Christophe-Colomb,CSC (Côte Sainte-Catherine),Eco-Display Parc Stanley,Eco-Totem - Métro Laurier,Edmond Valade,Gouin / Lajeunesse,Maisonneuve_2,Maisonneuve_3,Notre-Dame,Parc,PierDup,Pont Jacques-Cartier,Rachel / Hôtel de Ville,Rachel / Papineau,René-Lévesque,Saint-Antoine,Saint-Laurent/Bellechasse,Saint-Urbain,Viger
01/01/2018,00:00,29,30,18,2,8,7,,52,0,0,40,15,0,15,0,8,40,62,7,3,58,13,
02/01/2018,00:00,94,71,32,0,6,23,,78,0,0,102,44,0,38,0,5,92,144,35,3,143,23,
03/01/2018,00:00,200,149,54,0,30,58,,112,0,0,221,73,0,76,4,9,160,273,62,37,314,21,
04/01/2018,00:00,230,156,95,2,30,67,,157,0,0,307,92,,95,2,13,212,369,61,23,373,20,
05/01/2018,00:00,125,89,33,3,2,32,,263,0,0,136,47,,41,1,3,101,209,18,12,160,53,
06/01/2018,00:00,64,31,16,20,4,57,,113,0,0,42,16,,14,0,2,30,65,6,0,59,8,
07/01/2018,00:00,57,55,36,12,7,13,,64,0,0,44,36,,15,0,1,39,81,8,3,97,9,
08/01/2018,00:00,191,207,77,1,20,85,,358,0,0,287,49,,90,0,0,144,292,80,18,379,8,
09/01/2018,00:00,434,275,156,0,44,168,,261,6,0,451,141,,43,3,0,243,542,109,48,525,152,
10/01/2018,00:00,477,276,153,0,42,216,,281,0,0,516,137,,155,0,1,365,549,117,42,628,138,
11/01/2018,00:00,389,245,133,42,14,188,,300,0,0,296,116,,170,8,1,299,443,83,54,556,170,
12/01/2018,00:00,291,192,125,28,30,118,,293,0,0,431,100,,206,11,116,238,358,103,40,459,158,
13/01/2018,00:00,8,52,16,0,1,21,,168,2,0,2,9,,19,1,8,64,69,5,4,76,21,
14/01/2018,00:00,60,78,46,0,,38,,337,0,0,126,22,,20,0,8,87,118,3,3,102,8,
15/01/2018,00:00,217,149,126,0,14,163,,328,0,0,353,64,,129,0,3,156,376,87,22,361,4,
16/01/2018,00:00,339,240,157,8,49,169,,290,1,0,413,87,,165,5,13,241,468,110,60,507,91,
