Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Precip (mm),Snow on Grnd (cm),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Wind Chill,Berri1,Maisonneuve_2,Maisonneuve_3
2015,1,1,-2.9,-7.4,-5.2,0.3,0.0,-8.779166666666667,73.875,22.708333333333332,24.333333333333332,-11.791666666666666,58,49,21
2015,1,2,-3.3,-16.0,-9.7,0.2,0.0,-15.679166666666667,54.916666666666664,28.291666666666668,20.166666666666668,-15.083333333333334,75,113,27
2015,1,3,-7.7,-17.5,-12.6,12.3,0.0,-18.1375,65.70833333333333,8.416666666666666,13.625,-19.083333333333332,79,107,36
2015,1,4,3.6,-7.8,-2.1,25.3,4.0,-4.2,89.33333333333333,6.791666666666667,13.708333333333334,-5.541666666666667,10,35,29
2015,1,5,-5.1,-17.8,-11.5,0.0,3.0,-18.479166666666668,62.875,27.125,31.416666666666668,-23.333333333333332,42,90,21
2015,1,6,-8.2,-19.0,-13.6,2.0,3.0,-16.941666666666666,75.45833333333333,22.541666666666668,9.0,-18.458333333333332,101,153,38
2015,1,7,-8.9,-26.0,-17.5,2.7,8.0,-19.229166666666668,75.45833333333333,21.041666666666668,18.875,-24.916666666666668,121,144,35
2015,1,8,-7.1,-26.7,-16.9,0.7,11.0,-22.40833333333333,71.875,21.083333333333332,13.541666666666666,-26.291666666666668,70,139,36
2015,1,9,-5.9,-13.3,-9.6,1.2,13.0,-12.666666666666666,72.29166666666667,21.625,19.291666666666668,-15.583333333333334,88,135,26
2015,1,10,-8.4,-13.1,-10.8,0.0,11.0,-16.229166666666668,64.125,23.0,16.541666666666668,-17.708333333333332,29,70,17
2015,1,11,-4.2,-11.3,-7.8,0.0,11.0,-12.470833333333333,68.33333333333333,18.791666666666668,14.625,-13.541666666666666,66,89,27
2015,1,12,-1.9,-16.7,-9.3,3.2,11.0,-7.9624999999999995,76.20833333333333,22.166666666666668,13.458333333333334,-9.125,183,323,62
2015,1,13,-16.7,-23.8,-20.3,0.4,12.0,-24.625,59.458333333333336,19.666666666666668,10.458333333333334,-25.333333333333332,183,250,41
2015,1,14,-14.4,-23.8,-19.1,0.0,12.0,-21.65416666666667,76.875,7.375,7.75,-24.083333333333332,183,276,48
2015,1,15,-4.4,-20.4,-12.4,0.0,12.0,-16.154166666666665,76.25,14.375,8.125,-16.291666666666668,183,297,52
2015,1,16,-2.4,-20.3,-11.4,0.6,15.0,-15.229166666666666,66.16666666666667,27.083333333333332,25.833333333333332,-18.75,177,280,50
