_metric,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,config/batch,config/drop,config/epoch,config/linear,config/lr
1.65333271,0.015996218,FALSE,,,2000,1aca8_00112,a4f19dac9d2e420fa6efe72d6d200a4c,2022-04-09_13-43-13,1649526193,60.11653733,3068,DESKTOP-IMPI4GQ,127.0.0.1,60.11653733,0,2000,1024,0.5,2000,60,0.005
1.663765669,0.019993544,FALSE,,,3000,1aca8_00104,7f08893fc8f34d0993a4605bec86fa14,2022-04-09_13-41-02,1649526062,76.84612083,13696,DESKTOP-IMPI4GQ,127.0.0.1,76.84612083,0,3000,1024,0.4,3000,40,0.005
1.670133829,0.012993574,FALSE,,,2000,1aca8_00100,6846502b292d48ca88e66491d84a5801,2022-04-09_13-39-39,1649525979,50.85753465,6264,DESKTOP-IMPI4GQ,127.0.0.1,50.85753465,0,2000,1024,0.5,2000,40,0.005
1.672543883,0.01599431,FALSE,,,3000,1aca8_00022,e6090872f1874115acc44736e8443cf9,2022-04-09_13-12-15,1649524335,91.35944486,6944,DESKTOP-IMPI4GQ,127.0.0.1,91.35944486,0,3000,1024,0.5,3000,60,0.001
1.68234992,0.020990849,FALSE,,,2000,1aca8_00064,d94b1d96089444afad29af60a3609623,2022-04-09_13-26-18,1649525178,58.85877872,1008,DESKTOP-IMPI4GQ,127.0.0.1,58.85877872,0,2000,1024,0.5,2000,60,0.002
1.682984352,0.030991077,FALSE,,,2000,1aca8_00183,05caba52872844d7a71ca58caa44401c,2022-04-09_14-08-46,1649527726,71.37889194,7660,DESKTOP-IMPI4GQ,127.0.0.1,71.37889194,0,2000,2048,0.4,2000,100,0.01
1.685330153,0.021991014,FALSE,,,3000,1aca8_00119,2b1a718ba07040bf8b9de2759f6333dd,2022-04-09_13-45-56,1649526356,81.95846319,5640,DESKTOP-IMPI4GQ,127.0.0.1,81.95846319,0,3000,2048,0.5,3000,60,0.005
1.685476542,0.03898716,FALSE,,,2000,1aca8_00014,76ed02466b8c48758134e684dbcfae92,2022-04-09_13-09-06,1649524146,59.35585356,3960,DESKTOP-IMPI4GQ,127.0.0.1,59.35585356,0,2000,1024,0.4,2000,60,0.001
1.686065078,0.019989729,FALSE,,,3000,1aca8_00116,afc54a6dc05e4fd7ae717cc62f317280,2022-04-09_13-44-54,1649526294,96.64393926,13728,DESKTOP-IMPI4GQ,127.0.0.1,96.64393926,0,3000,1024,0.4,3000,60,0.005
1.68701148,0.023990393,FALSE,,,2000,1aca8_00088,e024eb2864d74e3b9e7c12f5f8887183,2022-04-09_13-35-07,1649525707,73.98404646,5812,DESKTOP-IMPI4GQ,127.0.0.1,73.98404646,0,2000,1024,0.5,2000,100,0.002
1.687988043,0.023997307,FALSE,,,2000,1aca8_00124,eb0af4e4e51441dd86f1d7678ff671e4,2022-04-09_13-47-09,1649526429,64.08825493,13156,DESKTOP-IMPI4GQ,127.0.0.1,64.08825493,0,2000,1024,0.5,2000,80,0.005
