"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-01-01","2010","01","01","","-2.8","","-5.1","","-4.0","","22.0","","0.0","","0.0","","","M","3.9","","5","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-01-02","2010","01","02","","-4.0","","-11.1","","-7.6","","25.6","","0.0","","","M","","M","3.0","","11","","27","","44",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-01-03","2010","01","03","","-4.2","","-11.7","","-8.0","","26.0","","0.0","","0.0","","","M","5.4","","9","","27","","43",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-01-04","2010","01","04","","-5.4","","-8.7","","-7.1","","25.1","","0.0","","","M","","M","0.2","","13","","26","","37",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-01-05","2010","01","05","","-4.9","","-8.6","","-6.8","","24.8","","0.0","","","M","","M","0.8","","11","","25","","33",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-01-06","2010","01","06","","-4.4","","-6.2","","-5.3","","23.3","","0.0","","","M","","M","0.2","","11","","26","","44",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-01-07","2010","01","07","","-4.9","","-7.5","","-6.2","","24.2","","0.0","","","M","","M","0.0","","10","","27","","41",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-01-08","2010","01","08","","-6.2","","-12.7","","-9.5","","27.5","","0.0","","","M","","M","0.0","","10","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-01-09","2010","01","09","","-11.3","","-16.8","","-14.1","","32.1","","0.0","","","M","","M","0.2","","10","","28","","35",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-01-10","2010","01","10","","-4.5","","-17.6","","-11.1","","29.1","","0.0","","","M","","M","0.0","","10","","26","","37",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-01-11","2010","01","11","","-3.7","","-6.4","","-5.1","","23.1","","0.0","","","M","","M","0.0","","10","","25","","35",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-01-12","2010","01","12","","-6.0","","-14.3","","-10.2","","28.2","","0.0","","","M","","M","0.0","","10","","29","","32",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-01-13","2010","01","13","","-7.6","","-15.2","","-11.4","","29.4","","0.0","","","M","","M","0.6","","10","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-01-14","2010","01","14","","0.1","","-8.3","","-4.1","","22.1","","0.0","","","M","","M","0.2","","11","","","","<31",""
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2010-01-15","2010","01","15","","3.0","","-1.1","","1.0","","17.0","","0.0","","","M","","M","0.2","","11","","26","","39",""
