"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-10-01 00:00","2012","10","01","00:00","11.5","","10.4","","93","","","","28","","15","","","","99.64","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-10-01 01:00","2012","10","01","01:00","11.4","","10.4","","94","","","","27","","15","","","","99.57","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-10-01 02:00","2012","10","01","02:00","11.2","","10.3","","94","","","","26","","13","","","","99.51","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-10-01 03:00","2012","10","01","03:00","11.2","","10.3","","94","","","","27","","15","","","","99.45","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-10-01 04:00","2012","10","01","04:00","11.3","","10.3","","94","","","","27","","15","","","","99.45","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-10-01 05:00","2012","10","01","05:00","11.4","","10.4","","94","","","","29","","19","","","","99.49","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-10-01 06:00","2012","10","01","06:00","11.7","","10.3","","91","","","","28","","19","","","","99.52","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-10-01 07:00","2012","10","01","07:00","12.1","","10.4","","89","","","","28","","19","","","","99.61","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-10-01 08:00","2012","10","01","08:00","12.6","","10.9","","89","","","","28","","20","","","","99.72","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-10-01 09:00","2012","10","01","09:00","13.9","","11.4","","85","","","","27","","22","","","","99.80","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-10-01 10:00","2012","10","01","10:00","15.0","","11.3","","79","","","","29","","22","","","","99.89","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-10-01 11:00","2012","10","01","11:00","14.8","","11.1","","78","","","","28","","22","","","","99.97","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-10-01 12:00","2012","10","01","12:00","14.9","","11.2","","79","","","","29","","19","","","","100.08","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-10-01 13:00","2012","10","01","13:00","15.0","","10.9","","76","","","","26","","19","","","","100.15","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-10-01 14:00","2012","10","01","14:00","15.3","","10.8","","75","","","","27","","22","","","","100.22","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-10-01 15:00","2012","10","01","15:00","15.2","","10.6","","74","","","","27","","24","","","","100.28","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-10-01 16:00","2012","10","01","16:00","15.1","","10.8","","75","","","","28","","22","","","","100.36","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-10-01 17:00","2012","10","01","17:00","14.9","","10.8","","76","","","","28","","17","","","","100.46","","","","","","NA"
"-73.74","45.47","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL","702S006","2012-10-01 18:00","2012","10","01","18:00","14.6","","10.9","","78","","","","27","","7","","","","100.52","","","","","","NA"
